geoid,census_name,display_name,population,acs_vintage,data_as_of
2301938705,"Levant town, Penobscot County, Maine",Levant town,3069,2024,
2301939475,"Lincoln town, Penobscot County, Maine",Lincoln town,4890,2024,
2301941435,"Lowell town, Penobscot County, Maine",Lowell town,378,2024,
2301944270,"Mattawamkeag town, Penobscot County, Maine",Mattawamkeag town,698,2024,
2301944340,"Maxfield town, Penobscot County, Maine",Maxfield town,76,2024,
2301945670,"Milford town, Penobscot County, Maine",Milford town,3095,2024,
2301945810,"Millinocket town, Penobscot County, Maine",Millinocket town,4115,2024,
2301947560,"Mount Chase town, Penobscot County, Maine",Mount Chase town,280,2024,
2301948505,"Newburgh town, Penobscot County, Maine",Newburgh town,1475,2024,
2301952710,"North Penobscot UT, Penobscot County, Maine",North Penobscot UT,518,2024,
2301955225,"Old Town city, Penobscot County, Maine",Old Town city,7470,2024,
2301955680,"Orrington town, Penobscot County, Maine",Orrington town,3853,2024,
2301957045,"Passadumkeag town, Penobscot County, Maine",Passadumkeag town,384,2024,
2301957150,"Patten town, Penobscot County, Maine",Patten town,1154,2024,
2301957936,"Penobscot Indian Island Reservation, Penobscot County, Maine",Penobscot Indian Island Reservation,470,2024,
2301959950,"Plymouth town, Penobscot County, Maine",Plymouth town,1319,2024,
2301960790,"Prentiss UT, Penobscot County, Maine",Prentiss UT,210,2024,
2301967160,"Seboeis plantation, Penobscot County, Maine",Seboeis plantation,12,2024,
2301973250,"Springfield town, Penobscot County, Maine",Springfield town,310,2024,
2301973600,"Stacyville town, Penobscot County, Maine",Stacyville town,465,2024,
2301974055,"Stetson town, Penobscot County, Maine",Stetson town,1151,2024,
2301978015,"Twombly Ridge UT, Penobscot County, Maine",Twombly Ridge UT,,2024,
2301978780,"Veazie town, Penobscot County, Maine",Veazie town,1847,2024,
2301981055,"Webster plantation, Penobscot County, Maine",Webster plantation,85,2024,
2301985230,"Whitney UT, Penobscot County, Maine",Whitney UT,,2024,
2301986305,"Winn town, Penobscot County, Maine",Winn town,287,2024,
2301987390,"Woodville town, Penobscot County, Maine",Woodville town,198,2024,
2302100100,"Abbot town, Piscataquis County, Maine",Abbot town,584,2024,
2302103740,"Beaver Cove town, Piscataquis County, Maine",Beaver Cove town,394,2024,
2302105560,"Blanchard UT, Piscataquis County, Maine",Blanchard UT,81,2024,
2302106400,"Bowerbank town, Piscataquis County, Maine",Bowerbank town,211,2024,
2302108325,"Brownville town, Piscataquis County, Maine",Brownville town,983,2024,
2302118195,"Dover-Foxcroft town, Piscataquis County, Maine",Dover-Foxcroft town,4506,2024,
2302137095,"Kingsbury plantation, Piscataquis County, Maine",Kingsbury plantation,17,2024,
2302137970,"Lake View plantation, Piscataquis County, Maine",Lake View plantation,181,2024,
2302144830,"Medford town, Piscataquis County, Maine",Medford town,222,2024,
2302146580,"Monson town, Piscataquis County, Maine",Monson town,596,2024,
2302151105,"Northeast Piscataquis UT, Piscataquis County, Maine",Northeast Piscataquis UT,1002,2024,
2302153628,"Northwest Piscataquis UT, Piscataquis County, Maine",Northwest Piscataquis UT,259,2024,
2302156765,"Parkman town, Piscataquis County, Maine",Parkman town,896,2024,
2302165865,"Sangerville town, Piscataquis County, Maine",Sangerville town,1136,2024,
2302166950,"Sebec town, Piscataquis County, Maine",Sebec town,547,2024,
2302168140,"Shirley town, Piscataquis County, Maine",Shirley town,234,2024,
2302170655,"Southeast Piscataquis UT, Piscataquis County, Maine",Southeast Piscataquis UT,437,2024,
2302181405,"Wellington town, Piscataquis County, Maine",Wellington town,161,2024,
2302185710,"Willimantic town, Piscataquis County, Maine",Willimantic town,200,2024,
2302301570,"Arrowsic town, Sagadahoc County, Maine",Arrowsic town,597,2024,
2302306260,"Bowdoin town, Sagadahoc County, Maine",Bowdoin town,3188,2024,
2302306365,"Bowdoinham town, Sagadahoc County, Maine",Bowdoinham town,3142,2024,
2302327295,"Georgetown town, Sagadahoc County, Maine",Georgetown town,1012,2024,
2302358070,"Perkins UT, Sagadahoc County, Maine",Perkins UT,,2024,
2302358515,"Phippsburg town, Sagadahoc County, Maine",Phippsburg town,2238,2024,
2302362645,"Richmond town, Sagadahoc County, Maine",Richmond town,3566,2024,
2302376960,"Topsham town, Sagadahoc County, Maine",Topsham town,9706,2024,
2302381930,"West Bath town, Sagadahoc County, Maine",West Bath town,1863,2024,
2302501395,"Anson town, Somerset County, Maine",Anson town,2331,2024,
2302501885,"Athens town, Somerset County, Maine",Athens town,791,2024,
2302505000,"Bingham town, Somerset County, Maine",Bingham town,660,2024,
2302507380,"Brighton plantation, Somerset County, Maine",Brighton plantation,98,2024,
2302509655,"Cambridge town, Somerset County, Maine",Cambridge town,532,2024,
2302509935,"Canaan town, Somerset County, Maine",Canaan town,2063,2024,
2302510495,"Caratunk town, Somerset County, Maine",Caratunk town,101,2024,
2302511820,"Central Somerset UT, Somerset County, Maine",Central Somerset UT,333,2024,
2302514555,"Cornville town, Somerset County, Maine",Cornville town,1419,2024,
2302517285,"Dennistown plantation, Somerset County, Maine",Dennistown plantation,134,2024,
2302523410,"Embden town, Somerset County, Maine",Embden town,995,2024,
2302531355,"Harmony town, Somerset County, Maine",Harmony town,974,2024,
2302531740,"Hartland town, Somerset County, Maine",Hartland town,1602,2024,
2302532895,"Highland plantation, Somerset County, Maine",Highland plantation,154,2024,
2302535345,"Jackman town, Somerset County, Maine",Jackman town,695,2024,
2302542660,"Madison town, Somerset County, Maine",Madison town,4782,2024,
2302545110,"Mercer town, Somerset County, Maine",Mercer town,718,2024,
2302547140,"Moose River town, Somerset County, Maine",Moose River town,248,2024,
2302547455,"Moscow town, Somerset County, Maine",Moscow town,865,2024,
2302549205,"New Portland town, Somerset County, Maine",New Portland town,686,2024,
2302549835,"Norridgewock town, Somerset County, Maine",Norridgewock town,3288,2024,
2302551114,"Northeast Somerset UT, Somerset County, Maine",Northeast Somerset UT,516,2024,
2302553636,"Northwest Somerset UT, Somerset County, Maine",Northwest Somerset UT,26,2024,
2302556520,"Palmyra town, Somerset County, Maine",Palmyra town,2209,2024,
2302559005,"Pittsfield town, Somerset County, Maine",Pittsfield town,3930,2024,
2302559705,"Pleasant Ridge plantation, Somerset County, Maine",Pleasant Ridge plantation,87,2024,
2302562995,"Ripley town, Somerset County, Maine",Ripley town,436,2024,
2302564850,"St. Albans town, Somerset County, Maine",St. Albans town,1831,2024,
2302567238,"Seboomook Lake UT, Somerset County, Maine",Seboomook Lake UT,41,2024,
2302568910,"Skowhegan town, Somerset County, Maine",Skowhegan town,8653,2024,
2302569155,"Smithfield town, Somerset County, Maine",Smithfield town,856,2024,
2302573845,"Starks town, Somerset County, Maine",Starks town,556,2024,
